Supplier,Retailer,Supplier Store ID,Retailer Store ID,Invoice,Store,Item,SKU,Description,UPC,UOM,Business Day,Line Items Selected,Units,Net,Allowance,Base,Total Retail,Retail Selling Class,Retail Unit Multiple,Retail Unit,Dollar Impact,Tracking ID,Sales Type Code,Warehouse ID,Other
T&L Nursery  Inc.,Haggen Food and Pharmacy,11,11,58641883,11 HAGGEN - MERIDIAN,7155,,Carex morrowii Ice Dance 4IN,007-97106-51208-6,EA,2/17/2013,,2,1.82,0,1.82,5.98,RG,1,2.99,3.64,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,11,11,58641883,11 HAGGEN - MERIDIAN,2049,,Primula Belarina Buttercup  1QT,007-97106-64289-9,EA,2/17/2013,,2,3.45,0,3.45,4.99,RG,1,4.99,6.9,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,23145,,Blechnum spicant 4IN,007-97106-31504-5,EA,2/17/2013,,1,1.98,0,1.98,2.99,RG,1,2.99,1.98,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,25130,,Calluna v. Schurigs Sensation  4IN,007-97106-11100-5,EA,2/17/2013,,2,1.75,0,1.75,2.5,RG,1,2.5,3.5,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,7125,,Carex comans Frosty Curls  4IN,007-97106-51211-6,EA,2/17/2013,,1,1.82,0,1.82,2.99,RG,1,2.99,1.82,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,25535,,Erica Assorted 4IN,007-97106-11150-0,EA,2/17/2013,,4,1.75,0,1.75,10,RG,1,2.5,7,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,23380,,Ferns Assorted 4IN,007-97106-31900-5,EA,2/17/2013,,4,1.98,0,1.98,11.96,RG,1,2.99,7.92,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,7185,,Festuca glauca Elijah Blue 4IN,007-97106-52014-2,EA,2/17/2013,,1,1.82,0,1.82,2.99,RG,1,2.99,1.82,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,78530,,Helleborus Cinnamon Snow  1GA,007-97106-62348-5,EA,2/17/2013,,1,7.69,0,7.69,11.99,RG,1,11.99,7.69,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,78545,,Helleborus Ivory Prince 1GA,007-97106-62333-1,EA,2/17/2013,,1,7.69,0,7.69,11.99,RG,1,11.99,7.69,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,78570,,Helleborus Pink Frost 1GA,007-97106-32005-6,EA,2/17/2013,,3,7.69,0,7.69,11.99,RG,1,11.99,23.07,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,2049,,Primula Belarina Buttercup  1QT,007-97106-64289-9,EA,2/17/2013,,1,3.45,0,3.45,4.99,RG,1,4.99,3.45,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,15,15,58641886,15 HAGGEN - BURLINGTON,24360,,Veronica Georgia Blue  4IN,007-97106-31650-9,EA,2/17/2013,,2,1.35,0,1.35,1.99,RG,1,1.99,2.7,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,17,17,58641888,17 TOP FOODS - LAKE TAPPS,4021,,Container Winter,007-97106-80014-5,EA,2/17/2013,,1,15.75,0,15.75,24.99,RG,1,24.99,15.75,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,23,23,58641890,23 HAGGEN - ARLINGTON,7165,,Carex testacea 4IN,007-97106-51213-0,EA,2/17/2013,,4,1.82,0,1.82,2.99,RG,1,2.99,7.28,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,23,23,58641890,23 HAGGEN - ARLINGTON,5415,,Erica carnea Springwood Pink 1GA,007-97106-12150-9,EA,2/17/2013,,2,3.83,0,3.83,5.99,RG,1,5.99,7.66,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,23,23,58641890,23 HAGGEN - ARLINGTON,2049,,Primula Belarina Buttercup  1QT,007-97106-64289-9,EA,2/17/2013,,2,3.45,0,3.45,9.98,RG,1,4.99,6.9,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,7080,,Acorus gramineus Ogon  4IN,007-97106-51012-9,EA,2/17/2013,,2,1.82,0,1.82,2.99,RG,1,2.99,3.64,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,68000,,Acorus gramineus Ogon  1GA,007-97106-52012-8,EA,2/17/2013,,2,4.09,0,4.09,6.99,RG,1,6.99,8.18,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,22970,,Ajuga reptans Black Scallop  4IN,007-97106-31300-3,EA,2/17/2013,,18,1.65,0,1.65,53.82,RG,1,2.99,29.7,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,25130,,Calluna v. Schurigs Sensation  4IN,007-97106-11100-5,EA,2/17/2013,,8,1.75,0,1.75,5,RG,1,2.5,14,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,7165,,Carex testacea 4IN,007-97106-51213-0,EA,2/17/2013,,1,1.82,0,1.82,2.99,RG,1,2.99,1.82,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,25535,,Erica Assorted 4IN,007-97106-11150-0,EA,2/17/2013,,2,1.75,0,1.75,5,RG,1,2.5,3.5,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,23380,,Ferns Assorted 4IN,007-97106-31900-5,EA,2/17/2013,,3,1.98,0,1.98,8.97,RG,1,2.99,5.94,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,7185,,Festuca glauca Elijah Blue 4IN,007-97106-52014-2,EA,2/17/2013,,12,1.82,0,1.82,35.88,RG,1,2.99,21.84,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,23425,,Ground Cover Assorted  4IN,007-97106-31999-9,EA,2/17/2013,,1,1.35,0,1.35,1.99,RG,1,1.99,1.35,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,78545,,Helleborus Ivory Prince 1GA,007-97106-62333-1,EA,2/17/2013,,1,7.69,0,7.69,11.99,RG,1,11.99,7.69,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,68440,,Juncus effusus  1 QTz Creek 1GA,007-97106-52300-6,EA,2/17/2013,,2,4.09,0,4.09,13.98,RG,1,6.99,8.18,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,2194,,Primula Belarina Cream  1QT,007-97106-74661-0,EA,2/17/2013,,1,3.45,0,3.45,4.99,RG,1,4.99,3.45,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,24245,,Selaginella kraussiana Aurea  4IN,007-97106-31550-2,EA,2/17/2013,,18,1.35,0,1.35,35.82,RG,1,1.99,24.3,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,29,29,58641892,29 TOP FOODS - OLYMPIA,4021,,Container Winter,007-97106-80014-5,EA,2/17/2013,,1,15.75,0,15.75,24.99,RG,1,24.99,15.75,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,39,39,58641894,39 TOP FOODS - FEDERAL WAY,78570,,Helleborus Pink Frost 1GA,007-97106-32005-6,EA,2/17/2013,,-1,7.69,0,7.69,-11.99,RG,1,-11.99,-7.69,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,43,43,58641896,43 HAGGEN - SEHOME VILLAGE,2285,,Primula Belarina Pink Champagne  1QT,007-97106-64293-6,EA,2/17/2013,,5,3.45,0,3.45,19.96,RG,1,4.99,17.25,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,45,45,58641898,45 TOP FOODS - EDMONDS,68440,,Juncus effusus  1 QTz Creek 1GA,007-97106-52300-6,EA,2/17/2013,,1,4.09,0,4.09,6.99,RG,1,6.99,4.09,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,47,47,58641900,47 TOP FOODS - PUYALLUP,5415,,Erica carnea Springwood Pink 1GA,007-97106-12150-9,EA,2/17/2013,,1,3.83,0,3.83,5.99,RG,1,5.99,3.83,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,47,47,58641900,47 TOP FOODS - PUYALLUP,4021,,Container Winter,007-97106-80014-5,EA,2/17/2013,,1,15.75,0,15.75,24.99,RG,1,24.99,15.75,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,51,51,58641902,51 TOP FOODS - KENT,5415,,Erica carnea Springwood Pink 1GA,007-97106-12150-9,EA,2/17/2013,,2,3.83,0,3.83,11.98,RG,1,5.99,7.66,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,51,51,58641902,51 TOP FOODS - KENT,78570,,Helleborus Pink Frost 1GA,007-97106-32005-6,EA,2/17/2013,,1,7.69,0,7.69,11.99,RG,1,11.99,7.69,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,51,51,58641902,51 TOP FOODS - KENT,2285,,Primula Belarina Pink Champagne  1QT,007-97106-64293-6,EA,2/17/2013,,2,3.45,0,3.45,4.99,RG,1,4.99,6.9,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,53,53,58641904,53 HAGGEN - BARKLEY VILLAGE,25130,,Calluna v. Schurigs Sensation  4IN,007-97106-11100-5,EA,2/17/2013,,1,1.75,0,1.75,2.5,RG,1,2.5,1.75,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,55,55,58641906,55 HAGGEN - STANWOOD,78530,,Helleborus Cinnamon Snow  1GA,007-97106-62348-5,EA,2/17/2013,,2,7.69,0,7.69,11.99,RG,1,11.99,15.38,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,55,55,58641906,55 HAGGEN - STANWOOD,78570,,Helleborus Pink Frost 1GA,007-97106-32005-6,EA,2/17/2013,,2,7.69,0,7.69,11.99,RG,1,11.99,15.38,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,55,55,58641906,55 HAGGEN - STANWOOD,2049,,Primula Belarina Buttercup  1QT,007-97106-64289-9,EA,2/17/2013,,3,3.45,0,3.45,4.99,RG,1,4.99,10.35,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,57,57,58641908,57 TOP FOODS - SNOHOMISH,68000,,Acorus gramineus Ogon  1GA,007-97106-52012-8,EA,2/17/2013,,2,4.09,0,4.09,6.99,RG,1,6.99,8.18,,,,
T&L Nursery  Inc.,Haggen Food and Pharmacy,57,57,58641908,57 TOP FOODS - SNOHOMISH,25130,,Calluna v. Schurigs Sensation  4IN,007-97106-11100-5,EA,2/17/2013,,2,1.75,0,1.75,2.5,RG,1,2.5,3.5,,,,
