CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
KMART CORPORATION             ,GARDEN STATE GROWERS          ,20050425            ,20050425            ,'770117935                    ,00032251.4

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20050414                      ,'                             ,'0020050421         ,                    ,                         ,03028          ,00000006.5,0000000000,0000000000006.5,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03028          ,0000212.93,0000000000,000000000212.93,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050421         ,                    ,                         ,03028          ,00000001.3,0000000000,0000000000001.3,                         ,                         ,,20050415                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03028          ,0000295.73,0000000000,000000000295.73,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050421         ,                    ,                         ,03028          ,00000001.3,0000000000,0000000000001.3,                         ,                         ,,20050416                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03028          ,0000476.13,0000000000,000000000476.13,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050421         ,                    ,                         ,03050          ,00000002.6,0000000000,0000000000002.6,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03050          ,0000180.71,0000000000,000000000180.71,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03050          ,0000128.15,0000000000,000000000128.15,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050421         ,                    ,                         ,03050          ,00000003.9,0000000000,0000000000003.9,                         ,                         ,,20050416                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03050          ,0000394.89,0000000000,000000000394.89,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03056          ,0000347.95,0000000000,000000000347.95,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03056          ,0000350.51,0000000000,000000000350.51,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03056          ,0000374.16,0000000000,000000000374.16,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03071          ,0000157.41,0000000000,000000000157.41,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03071          ,0000230.07,0000000000,000000000230.07,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03071          ,0000560.19,0000000000,000000000560.19,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03077          ,0000119.31,0000000000,000000000119.31,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03077          ,0000184.33,0000000000,000000000184.33,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03077          ,0000385.88,0000000000,000000000385.88,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050421         ,                    ,                         ,03117          ,00000002.6,0000000000,0000000000002.6,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03117          ,0000327.04,0000000000,000000000327.04,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050421         ,                    ,                         ,03117          ,00000003.9,0000000000,0000000000003.9,                         ,                         ,,20050415                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03117          ,0000236.09,0000000000,000000000236.09,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050421         ,                    ,                         ,03117          ,00000005.2,0000000000,0000000000005.2,                         ,                         ,,20050416                      ,0000000000,'043                
