CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,YOUNGS FARMS                  ,20101105            ,20101105            ,'771569636                    ,0016109.31

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03022          ,00000007.7,0000000000,0000000000007.7,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03022          ,00000024.3,0000000000,0000000000024.3,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03022          ,00000021.2,0000000000,0000000000021.2,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03022          ,00000010.8,0000000000,0000000000010.8,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03022          ,00000016.2,0000000000,0000000000016.2,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03022          ,0000000022,0000000000,000000000000022,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03022          ,00000012.8,0000000000,0000000000012.8,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03063          ,00000010.5,0000000000,0000000000010.5,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03063          ,00000004.2,0000000000,0000000000004.2,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03063          ,00000002.7,0000000000,0000000000002.7,                         ,                         ,,20101009                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03063          ,00000008.1,0000000000,0000000000008.1,                         ,                         ,,20101011                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03063          ,00000010.8,0000000000,0000000000010.8,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03083          ,00000056.7,0000000000,0000000000056.7,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03083          ,00000037.8,0000000000,0000000000037.8,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03083          ,0000132.95,0000000000,000000000132.95,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03083          ,00000029.7,0000000000,0000000000029.7,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03083          ,00000029.7,0000000000,0000000000029.7,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03083          ,00000037.8,0000000000,0000000000037.8,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03083          ,0000000054,0000000000,000000000000054,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03084          ,00000051.5,0000000000,0000000000051.5,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03084          ,0000056.85,0000000000,000000000056.85,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03084          ,00000040.8,0000000000,0000000000040.8,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03084          ,0000000030,0000000000,000000000000030,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03084          ,0000021.55,0000000000,000000000021.55,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03084          ,0000034.65,0000000000,000000000034.65,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03084          ,00000024.6,0000000000,0000000000024.6,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03103          ,0000014.85,0000000000,000000000014.85,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03103          ,0000023.33,0000000000,000000000023.33,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03103          ,0000029.14,0000000000,000000000029.14,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03103          ,0000025.65,0000000000,000000000025.65,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03103          ,00000013.5,0000000000,0000000000013.5,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03103          ,0000041.85,0000000000,000000000041.85,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03103          ,00000005.4,0000000000,0000000000005.4,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03143          ,00000018.9,0000000000,0000000000018.9,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03143          ,0000031.65,0000000000,000000000031.65,                         ,                         ,,20101008                      ,0000000000,'043                
20101009                      ,'                             ,'0020101010         ,                    ,                         ,03143          ,0000051.25,0000000000,000000000051.25,                         ,                         ,,20101009                      ,0000000000,'043                
20101010                      ,'                             ,'0020101011         ,                    ,                         ,03143          ,0000000015,0000000000,000000000000015,                         ,                         ,,20101010                      ,0000000000,'043                
20101011                      ,'                             ,'0020101012         ,                    ,                         ,03143          ,00000036.6,0000000000,0000000000036.6,                         ,                         ,,20101011                      ,0000000000,'043                
20101012                      ,'                             ,'0020101013         ,                    ,                         ,03143          ,0000000032,0000000000,000000000000032,                         ,                         ,,20101012                      ,0000000000,'043                
20101013                      ,'                             ,'0020101014         ,                    ,                         ,03143          ,00000043.5,0000000000,0000000000043.5,                         ,                         ,,20101013                      ,0000000000,'043                
20101007                      ,'                             ,'0020101008         ,                    ,                         ,03194          ,00000002.7,0000000000,0000000000002.7,                         ,                         ,,20101007                      ,0000000000,'043                
20101008                      ,'                             ,'0020101009         ,                    ,                         ,03194          ,00000010.5,0000000000,0000000000010.5,                         ,                         ,,20101008                      ,0000000000,'043                
