CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,PINEAE GREENHOUSES INC        ,20140508            ,20140508            ,'772637775                    ,0006040.12

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20140420                      ,'                             ,'0020140421         ,                    ,                         ,03085          ,0000010.89,0000000000,000000000010.89,                         ,                         ,,20140420                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,03085          ,0000009.01,0000000000,000000000009.01,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,03085          ,0000013.45,0000000000,000000000013.45,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,03085          ,00000035.7,0000000000,0000000000035.7,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,03085          ,0000004.88,0000000000,000000000004.88,                         ,                         ,,20140426                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,03765          ,0000020.07,0000000000,000000000020.07,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,03765          ,0000014.96,0000000000,000000000014.96,                         ,                         ,,20140422                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,03765          ,0000006.32,0000000000,000000000006.32,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,03765          ,0000034.48,0000000000,000000000034.48,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,03765          ,0000029.64,0000000000,000000000029.64,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,03765          ,0000021.81,0000000000,000000000021.81,                         ,                         ,,20140426                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,03891          ,0000084.67,0000000000,000000000084.67,                         ,                         ,,20140420                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,03891          ,0000065.41,0000000000,000000000065.41,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,03891          ,0000006.72,0000000000,000000000006.72,                         ,                         ,,20140422                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,03891          ,0000021.04,0000000000,000000000021.04,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,03891          ,0000011.28,0000000000,000000000011.28,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,03891          ,0000270.23,0000000000,000000000270.23,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,03891          ,0000247.12,0000000000,000000000247.12,                         ,                         ,,20140426                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,04159          ,0000063.67,0000000000,000000000063.67,                         ,                         ,,20140420                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,04159          ,0000051.86,0000000000,000000000051.86,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,04159          ,00000017.2,0000000000,0000000000017.2,                         ,                         ,,20140422                      ,0000000000,'043                
